City: Kyiv
Latitude: 50.4375
Longitude: 30.5

Daily Data:
Today is 2023-09-03
Best sunrise was at 06:14
and best sunset will at 19:39

Hourly Data:
    Time  Temperature     Humidity   CloudCover
   00:00         19.3           54%        85.00%
   01:00         18.9           55%        84.00%
   02:00         18.4           56%        92.00%
   03:00         18.2           57%        97.00%
   04:00         17.9           57%       100.00%
   05:00         17.6           58%       100.00%
   06:00         17.2           60%       100.00%
   07:00         17.1           61%        99.00%
   08:00         17.5           59%        99.00%
   09:00         18.6           57%        88.00%
   10:00         19.7           54%        92.00%
   11:00         20.8           51%        78.00%
   12:00         22.1           47%       100.00%
   13:00         22.5           47%       100.00%
   14:00         23.2           47%        93.00%
   15:00         23.9           43%        95.00%
   16:00         24.4           38%       100.00%
   17:00         23.9           40%        88.00%
   18:00         23.4           41%        97.00%
   19:00         22.8           42%       100.00%
   20:00         21.8           44%        97.00%
   21:00         20.6           51%        91.00%
   22:00         19.4           56%       100.00%
   23:00         18.1           64%        99.00%
