City: Kyiv
Latitude: 50.4375
Longitude: 30.5

Daily Data:
Today is 2023-09-02
Best sunrise was at 06:13
and best sunset will at 19:42

Hourly Data:
    Time  Temperature     Humidity   CloudCover
   00:00         18.0           66%        86.00%
   01:00         17.7           68%        71.00%
   02:00         17.4           71%        67.00%
   03:00         16.7           73%         1.00%
   04:00         15.8           77%        20.00%
   05:00         15.2           80%        98.00%
   06:00         14.7           81%       100.00%
   07:00         14.6           79%        17.00%
   08:00         16.0           71%        98.00%
   09:00         18.0           60%         0.00%
   10:00         20.1           50%        22.00%
   11:00         21.6           44%        89.00%
   12:00         22.8           39%        93.00%
   13:00         23.5           36%        82.00%
   14:00         24.0           34%        76.00%
   15:00         24.5           32%        67.00%
   16:00         24.6           32%        54.00%
   17:00         24.4           31%        89.00%
   18:00         23.9           34%        80.00%
   19:00         23.2           37%        82.00%
   20:00         22.1           43%        98.00%
   21:00         21.7           48%        89.00%
   22:00         21.1           49%        94.00%
   23:00         20.6           49%        99.00%
