City: Kyiv
Latitude: 50.4375
Longitude: 30.5

Daily Data:
Today is 2023-12-25
Best sunrise was at 07:57
and best sunset will at 15:58

Hourly Data:
    Time  Temperature     Humidity   CloudCover
   00:00         -1.3           76%        15.00%
   01:00         -1.6           77%        58.00%
   02:00         -1.7           79%        71.00%
   03:00         -1.8           80%        98.00%
   04:00         -1.7           85%       100.00%
   05:00         -1.7           92%       100.00%
   06:00         -1.4           94%       100.00%
   07:00         -0.7           95%       100.00%
   08:00          0.2           93%       100.00%
   09:00          0.8           91%        96.00%
   10:00          1.5           91%       100.00%
   11:00          3.4           91%        82.00%
   12:00          4.8           90%        97.00%
   13:00          5.9           88%        89.00%
   14:00          6.9           84%        90.00%
   15:00          7.1           82%        94.00%
   16:00          6.9           83%        80.00%
   17:00          6.5           86%        88.00%
   18:00          6.8           86%       100.00%
   19:00          7.2           83%        97.00%
   20:00          7.1           81%        87.00%
   21:00          6.9           84%        60.00%
   22:00          6.7           82%        64.00%
   23:00          6.7           77%        53.00%
